,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
92,92,37.6,2023-12-06 11:23:20.534305,2023-12-06 11:23:24.983489,0 days 00:00:04.449184,0.5,0.33,0.0,10,weighted choice,COMPLETE
93,93,39.6,2023-12-06 11:23:24.983684,2023-12-06 11:23:25.470593,0 days 00:00:00.486909,0.5,0.01,1.0,10,roulette wheel,COMPLETE
94,94,37.6,2023-12-06 11:23:25.470770,2023-12-06 11:23:25.899211,0 days 00:00:00.428441,0.6,0.1,2.0,100,weighted choice,COMPLETE
95,95,37.6,2023-12-06 11:23:25.899405,2023-12-06 11:23:26.439176,0 days 00:00:00.539771,0.5,0.33,2.0,20,weighted choice,COMPLETE
96,96,37.6,2023-12-06 11:23:26.439366,2023-12-06 11:23:26.910771,0 days 00:00:00.471405,0.95,0.33,4.0,50,roulette wheel,COMPLETE
97,97,44.4,2023-12-06 11:23:26.910974,2023-12-06 11:23:27.647077,0 days 00:00:00.736103,0.6,0.0,2.0,50,weighted choice,COMPLETE
98,98,37.2,2023-12-06 11:23:27.647263,2023-12-06 11:23:28.026422,0 days 00:00:00.379159,0.5,0.1,4.0,100,roulette wheel,COMPLETE
99,99,38.8,2023-12-06 11:23:28.026613,2023-12-06 11:23:28.382168,0 days 00:00:00.355555,0.6,0.1,2.0,100,roulette wheel,COMPLETE
100,100,36.4,2023-12-06 11:23:28.382361,2023-12-06 11:23:28.827219,0 days 00:00:00.444858,0.95,0.33,1.0,50,random selection,COMPLETE
101,101,37.2,2023-12-06 11:23:28.827431,2023-12-06 11:23:52.569750,0 days 00:00:23.742319,0.0,0.5,,50,weighted choice,COMPLETE
102,102,36.8,2023-12-06 11:23:52.569996,2023-12-06 11:24:14.077575,0 days 00:00:21.507579,0.6,0.33,0.0,50,weighted choice,COMPLETE
103,103,37.6,2023-12-06 11:24:14.077763,2023-12-06 11:24:17.901476,0 days 00:00:03.823713,0.0,0.33,,10,roulette wheel,COMPLETE
104,104,37.2,2023-12-06 11:24:17.901656,2023-12-06 11:24:39.247234,0 days 00:00:21.345578,0.6,0.01,0.0,100,roulette wheel,COMPLETE
105,105,42.8,2023-12-06 11:24:39.247422,2023-12-06 11:24:39.907552,0 days 00:00:00.660130,0.6,0.0,4.0,20,weighted choice,COMPLETE
106,106,37.2,2023-12-06 11:24:39.907733,2023-12-06 11:25:21.550865,0 days 00:00:41.643132,0.8,0.5,0.0,100,random selection,COMPLETE
107,107,38.0,2023-12-06 11:25:21.551065,2023-12-06 11:25:38.653660,0 days 00:00:17.102595,0.95,0.1,0.0,50,weighted choice,COMPLETE
108,108,42.0,2023-12-06 11:25:38.653873,2023-12-06 11:25:39.039736,0 days 00:00:00.385863,0.6,0.01,4.0,50,roulette wheel,COMPLETE
109,109,38.0,2023-12-06 11:25:39.039917,2023-12-06 11:25:51.151079,0 days 00:00:12.111162,0.0,0.1,,50,random selection,COMPLETE
110,110,37.2,2023-12-06 11:25:51.151270,2023-12-06 11:25:57.581403,0 days 00:00:06.430133,0.95,0.1,0.0,20,roulette wheel,COMPLETE
111,111,37.6,2023-12-06 11:25:57.581584,2023-12-06 11:25:58.153950,0 days 00:00:00.572366,0.6,0.33,2.0,100,weighted choice,COMPLETE
112,112,38.4,2023-12-06 11:25:58.154137,2023-12-06 11:25:58.544182,0 days 00:00:00.390045,0.8,0.1,4.0,10,weighted choice,COMPLETE
